단어,빈도수
후보,25
재판,10
혐의,10
선거,8
위반,8
사건,7
공직선거법,6
형사,6
경우,5
공판,5
당선,5
일정,5
출석,5
확정,5
관련,4
국민,4
기일,4
단체,4
무효,4
이후,4
정치자금,4
고발,3
내란,3
벌금,3
법정,3
오세훈,3
유지,3
이상,3
인천,3
지방선거,3
지자체,3
직책,3
결심,2
국회,2
권한,2
다시,2
다음,2
달리,2
대통령,2
대행,2
때문,2
민주당,2
부인,2
서울시장,2
서울중앙지법,2
선거운동,2
소속,2
수도,2
시장,2
예정,2
유정복,2
이유,2
임무,2
전망,2
전북지사,2
정무,2
정치,2
제기,2
종사,2
중단,2
진행,2
추경호,2
피고인,2
피선거권,2
합의,2
행정,2
각각,1
개월,1
검찰,1
게이트,1
결과,1
경선,1
계엄,1
공명,1
공무원,1
공백,1
공소,1
공표,1
과정,1
광역자치단체장,1
구금,1
구형,1
국면,1
권선택,1
궐위,1
규정,1
금고,1
기간,1
기소,1
기자,1
기자회견,1
기준,1
긴급,1
김관영,1
뉴스,1
뉴시스,1
당사,1
당시,1
대구시,1
대납,1
대선,1
대표,1
대한,1
대해,1
동원,1
따라서,1
또한,1
로서,1
리스크,1
마무리,1
막판,1
만큼,1
명시,1
명태,1
문제,1
밀약,1
박경,1
발부,1
방송,1
방해,1
범죄,1
법적,1
법조,1
보신각,1
본격,1
본부,1
본회의,1
부시장,1
불소,1
비상계엄,1
사법,1
사실,1
사유,1
사진,1
상실,1
상태,1
서울,1
선거법,1
선고,1
수사,1
수요일,1
시계,1
시청,1
아산시,1
아산시장,1
앞서,1
업무,1
여론조사,1
여부,1
연결,1
연루,1
열기,1
영장,1
영향,1
외환,1
우려,1
운명,1
원내대표,1
원칙,1
의원,1
의혹,1
이야기,1
인터뷰,1
일반,1
일부,1
일제,1
일주일,1
입장,1
자당,1
재개,1
재직,1
전시,1
전시장,1
전환,1
절차,1
정주현,1
정청래,1
제외,1
조정,1
종로구,1
종료,1
주장,1
준비,1
중인,1
지난,1
지난달,1
지방자치단체,1
지방자치법,1
지법,1
직전,1
직후,1
진술,1
진입,1
집중,1
집합,1
집행유예,1
징역,1
징역형,1
차질,1
참석,1
체제,1
최후,1
출마,1
충돌,1
측은,1
치면,1
토마토,1
투표,1
특권,1
파장,1
판가름,1
표결,1
해제,1
허위,1
헌법,1
현재,1
형량,1
형사재판,1
