N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
1,삼성전자,186300,하락13100,-6.57%,100,11028285,5919638,49.50,30258064,28.38,10.85
2,SK하이닉스,933000,하락74000,-7.35%,5000,6649513,712702,53.45,3908718,15.83,44.15
3,삼성전자우,130900,하락8300,-5.96%,100,1068111,815975,76.49,4880824,19.94,N/A
4,현대차,485000,하락32000,-6.19%,5000,993075,204758,28.62,1603262,13.73,8.41
5,LG에너지솔루션,356000,하락19500,-5.19%,500,833040,234000,4.84,302070,-77.64,-5.19
6,SK스퀘어,557000,하락51000,-8.39%,100,735725,132087,49.93,779508,8.38,37.82
7,삼성바이오로직스,1523000,하락78000,-4.87%,2500,705011,46291,12.72,32660,57.32,19.44
8,한화에어로스페이스,1278000,하락42000,-3.18%,5000,658980,51563,44.69,232870,44.73,19.14
9,두산에너빌리티,100700,하락8900,-8.12%,5000,645045,640561,24.51,6026425,-633.33,1.52
10,기아,161700,하락6800,-4.04%,5000,631298,390413,38.95,1347768,8.46,12.92
11,KB금융,145300,하락9900,-6.38%,5000,541752,372850,76.48,1120856,9.73,8.86
12,HD현대중공업,502000,하락57000,-10.20%,5000,526905,104961,15.36,281943,34.48,11.39
13,삼성물산,274500,하락23000,-7.73%,100,466586,169977,29.71,387383,19.38,6.02
14,셀트리온,188300,하락13700,-6.78%,1000,435064,231048,23.26,741755,42.34,5.94
15,삼성생명,217500,하락14000,-6.05%,500,435000,200000,23.02,469207,18.89,4.96
16,신한지주,89900,하락8000,-8.17%,5000,426714,474654,61.87,2048881,9.20,8.11
17,한화오션,118900,하락10200,-7.90%,5000,364326,306413,11.16,992719,29.24,22.59
18,현대모비스,381000,하락19500,-4.87%,5000,345691,90733,42.75,291322,9.60,7.68
19,미래에셋증권,61900,하락5800,-8.57%,5000,343741,555316,9.91,2920975,35.74,7.94
20,HD현대일렉트릭,913000,하락46000,-4.80%,5000,329110,36047,36.95,112092,44.92,41.50
21,NAVER,209000,하락12500,-5.64%,100,327822,156853,38.48,692498,16.89,7.37
22,삼성전기,427500,하락37000,-7.97%,5000,319316,74694,38.48,602142,46.98,7.70
23,고려아연,1486000,하락101000,-6.36%,5000,310172,20873,9.52,39467,38.58,8.48
24,삼성SDI,376500,하락24000,-5.99%,5000,303405,80586,24.24,462226,-45.23,-3.15
25,하나금융지주,106000,하락7200,-6.36%,5000,295025,278326,67.54,835977,7.51,9.17
26,한국전력,45600,하락3550,-7.22%,5000,292736,641964,22.42,2521427,3.43,19.40
27,한미반도체,297000,하락12500,-4.04%,100,283077,95312,7.38,788575,133.00,34.76
28,POSCO홀딩스,325000,하락18500,-5.39%,5000,263032,80933,29.30,445916,40.20,1.18
29,HD한국조선해양,366000,하락38500,-9.52%,5000,259030,70773,34.31,278996,12.79,11.16
30,LS ELECTRIC,823000,하락63000,-7.11%,5000,246900,30000,22.45,139435,86.14,13.44
31,효성중공업,2589000,하락146000,-5.34%,5000,241413,9325,28.16,34395,46.44,24.41
32,SK,329000,하락31000,-8.61%,200,238534,72503,28.39,198808,15.05,6.35
33,한화시스템,124000,하락12000,-8.82%,5000,234260,188919,8.15,1275975,96.72,6.60
34,우리금융지주,31700,하락2200,-6.49%,5000,232702,734076,47.01,2203948,7.30,9.39
35,삼성중공업,26000,하락2550,-8.93%,1000,228800,880000,33.98,7716407,41.94,13.74
36,삼성화재,455500,하락19000,-4.00%,500,209581,46011,55.38,92306,11.43,13.11
37,카카오,46900,하락3100,-6.20%,100,207657,442766,29.59,2105077,89.33,0.56
38,LG화학,290000,하락20000,-6.45%,5000,204718,70592,35.50,249892,-12.48,-5.50
39,HD현대,240500,하락25000,-9.42%,1000,189978,78993,26.43,187480,26.47,6.36
40,HMM,19810,하락1440,-6.78%,5000,186855,943238,7.44,1927151,10.13,6.90
41,현대로템,168900,하락11200,-6.22%,5000,184341,109142,33.64,854781,23.94,30.05
42,기업은행,23050,하락1050,-4.36%,5000,183807,797426,13.25,1376581,6.80,8.06
43,SK이노베이션,105600,하락8300,-7.29%,5000,178520,169053,13.09,464035,-5.02,-14.42
44,LG전자,109500,하락8400,-7.12%,5000,178361,162886,33.34,932229,20.58,4.28
45,메리츠금융지주,105300,하락4800,-4.36%,500,177958,169001,14.91,315079,8.36,23.44
