id,name,score,score2
1,Student_1,89,56
2,Student_2,92,81
3,Student_3,85,88
4,Student_4,62,71
5,Student_5,73,60
6,Student_6,96,87
7,Student_7,75,50
8,Student_8,71,67
9,Student_9,83,53
10,Student_10,76,58
11,Student_11,70,84
12,Student_12,54,65
13,Student_13,59,71
14,Student_14,62,75
15,Student_15,93,97
16,Student_16,74,53
17,Student_17,56,67
18,Student_18,72,94
19,Student_19,64,98
20,Student_20,57,58
21,Student_21,83,80
22,Student_22,84,59
23,Student_23,99,51
24,Student_24,84,82
25,Student_25,63,64
26,Student_26,58,83
27,Student_27,84,62
28,Student_28,86,60
29,Student_29,92,73
30,Student_30,76,81
31,Student_31,59,68
32,Student_32,91,52
33,Student_33,78,66
34,Student_34,59,85
35,Student_35,86,79
36,Student_36,86,73
37,Student_37,88,87
38,Student_38,62,98
39,Student_39,80,82
40,Student_40,71,60
41,Student_41,96,66
42,Student_42,67,58
43,Student_43,74,83
44,Student_44,83,57
45,Student_45,62,89
46,Student_46,67,99
47,Student_47,94,59
48,Student_48,78,65
49,Student_49,50,89
50,Student_50,50,74
51,Student_51,81,73
52,Student_52,82,89
53,Student_53,96,97
54,Student_54,74,71
55,Student_55,88,86
56,Student_56,77,100
57,Student_57,100,93
58,Student_58,70,56
59,Student_59,78,63
60,Student_60,77,88
61,Student_61,74,96
62,Student_62,98,89
63,Student_63,52,87
64,Student_64,87,83
65,Student_65,51,71
66,Student_66,70,89
67,Student_67,88,81
68,Student_68,66,69
69,Student_69,69,90
70,Student_70,81,63
71,Student_71,91,79
72,Student_72,95,60
73,Student_73,77,89
74,Student_74,66,74
75,Student_75,94,79
76,Student_76,86,70
77,Student_77,53,56
78,Student_78,58,72
79,Student_79,98,76
80,Student_80,95,59
81,Student_81,87,63
82,Student_82,96,79
83,Student_83,71,65
84,Student_84,98,62
85,Student_85,76,75
86,Student_86,75,93
87,Student_87,61,90
88,Student_88,61,82
89,Student_89,76,66
90,Student_90,92,87
91,Student_91,79,96
92,Student_92,78,74
93,Student_93,69,73
94,Student_94,91,68
95,Student_95,73,89
96,Student_96,93,87
97,Student_97,64,90
98,Student_98,98,64
99,Student_99,59,94
100,Student_100,77,55
101,Student_101,75,63
102,Student_102,58,92
103,Student_103,50,83
104,Student_104,78,52
105,Student_105,92,94
106,Student_106,97,56
107,Student_107,88,81
108,Student_108,55,63
109,Student_109,81,71
110,Student_110,98,81
111,Student_111,87,58
112,Student_112,59,87
113,Student_113,92,83
114,Student_114,67,67
115,Student_115,74,67
116,Student_116,90,55
117,Student_117,94,67
118,Student_118,74,75
119,Student_119,50,95
120,Student_120,72,83
121,Student_121,85,64
122,Student_122,70,99
123,Student_123,51,57
124,Student_124,93,84
125,Student_125,96,54
126,Student_126,82,85
127,Student_127,68,76
128,Student_128,81,85
129,Student_129,84,91
130,Student_130,64,70
131,Student_131,70,91
132,Student_132,73,76
133,Student_133,96,87
134,Student_134,58,77
135,Student_135,69,77
136,Student_136,96,95
137,Student_137,86,84
138,Student_138,54,72
139,Student_139,82,63
140,Student_140,53,53
141,Student_141,63,50
142,Student_142,57,53
143,Student_143,61,66
144,Student_144,93,90
145,Student_145,68,75
146,Student_146,76,59
147,Student_147,91,90
148,Student_148,59,100
149,Student_149,58,58
150,Student_150,95,83
151,Student_151,82,67
152,Student_152,82,55
153,Student_153,50,79
154,Student_154,59,98
155,Student_155,87,81
156,Student_156,96,78
157,Student_157,86,74
158,Student_158,79,83
159,Student_159,80,78
160,Student_160,79,83
161,Student_161,79,75
162,Student_162,86,54
163,Student_163,53,100
164,Student_164,57,100
165,Student_165,67,74
166,Student_166,69,80
167,Student_167,86,90
168,Student_168,57,77
169,Student_169,72,68
170,Student_170,51,81
171,Student_171,72,86
172,Student_172,88,57
173,Student_173,50,52
174,Student_174,92,50
175,Student_175,76,75
176,Student_176,70,87
177,Student_177,74,97
178,Student_178,69,76
179,Student_179,51,90
180,Student_180,66,81
181,Student_181,52,88
182,Student_182,70,84
183,Student_183,85,70
184,Student_184,62,76
185,Student_185,85,58
186,Student_186,88,77
187,Student_187,96,72
188,Student_188,60,93
189,Student_189,98,63
190,Student_190,79,61
191,Student_191,84,96
192,Student_192,84,88
193,Student_193,97,91
194,Student_194,71,53
195,Student_195,64,55
196,Student_196,71,80
197,Student_197,63,99
198,Student_198,76,50
199,Student_199,72,78
200,Student_200,78,64
201,Student_201,93,68
202,Student_202,100,61
203,Student_203,78,53
204,Student_204,72,100
205,Student_205,73,97
206,Student_206,93,68
207,Student_207,57,54
208,Student_208,96,75
209,Student_209,53,98
210,Student_210,57,54
211,Student_211,85,100
212,Student_212,95,64
213,Student_213,76,93
214,Student_214,81,62
215,Student_215,63,63
216,Student_216,51,69
217,Student_217,92,97
