height,weight,label
180,69,정상
192,79,정상
159,83,비만
150,82,비만
180,70,정상
191,93,비만
194,64,저체중
185,35,저체중
192,53,저체중
178,82,비만
160,78,비만
163,42,저체중
186,60,저체중
154,100,비만
193,78,정상
193,86,정상
155,37,저체중
153,100,비만
164,46,저체중
177,91,비만
157,89,비만
158,75,비만
189,55,저체중
194,41,저체중
185,56,저체중
182,45,저체중
175,88,비만
192,95,비만
180,84,비만
184,38,저체중
191,45,저체중
162,68,비만
172,81,비만
194,84,정상
193,74,정상
157,67,비만
165,77,비만
173,82,비만
182,99,비만
161,38,저체중
174,90,비만
152,38,저체중
164,89,비만
152,84,비만
163,48,저체중
198,63,저체중
161,44,저체중
194,70,정상
152,90,비만
167,98,비만
172,41,저체중
182,93,비만
173,61,정상
171,71,정상
179,95,비만
194,96,비만
165,56,정상
179,81,비만
161,59,정상
199,63,저체중
188,35,저체중
167,78,비만
161,65,비만
200,36,저체중
182,40,저체중
165,49,저체중
173,99,비만
159,38,저체중
170,70,정상
190,50,저체중
164,99,비만
180,97,비만
190,80,정상
166,91,비만
197,55,저체중
178,72,정상
189,40,저체중
167,77,비만
182,91,비만
195,62,저체중
196,71,저체중
183,67,정상
151,35,저체중
194,38,저체중
158,69,비만
176,52,저체중
165,60,정상
177,95,비만
153,68,비만
198,40,저체중
176,90,비만
187,46,저체중
175,60,정상
187,79,정상
173,84,비만
186,55,저체중
151,54,정상
151,39,저체중
154,88,비만
184,60,저체중
200,83,정상
200,47,저체중
195,80,정상
162,74,비만
167,97,비만
189,50,저체중
163,85,비만
187,66,정상
154,87,비만
172,76,비만
155,77,비만
159,46,저체중
196,74,정상
169,58,정상
198,90,정상
173,57,정상
151,61,비만
181,91,비만
181,57,저체중
153,78,비만
179,65,정상
170,47,저체중
164,35,저체중
173,81,비만
167,60,정상
194,90,정상
168,63,정상
183,53,저체중
182,77,정상
160,99,비만
179,84,비만
188,99,비만
195,66,저체중
179,93,비만
200,41,저체중
199,64,저체중
176,85,비만
183,91,비만
192,41,저체중
156,74,비만
172,37,저체중
170,98,비만
173,74,정상
160,52,정상
180,63,정상
184,52,저체중
166,98,비만
152,89,비만
173,71,정상
176,71,정상
174,76,비만
159,51,정상
166,39,저체중
192,83,정상
176,89,비만
189,68,정상
171,87,비만
199,83,정상
181,84,비만
175,58,정상
160,61,정상
166,49,저체중
167,41,저체중
191,80,정상
197,74,정상
199,52,저체중
169,62,정상
197,38,저체중
185,74,정상
152,36,저체중
160,60,정상
160,60,정상
195,72,정상
162,58,정상
199,74,정상
184,37,저체중
188,48,저체중
173,98,비만
184,60,저체중
178,47,저체중
183,35,저체중
191,51,저체중
175,99,비만
181,72,정상
179,80,정상
190,84,정상
176,38,저체중
195,70,저체중
151,54,정상
181,81,정상
194,48,저체중
193,89,정상
185,86,비만
188,82,정상
198,44,저체중
158,79,비만
153,64,비만
156,89,비만
155,42,저체중
150,66,비만
151,49,정상
193,38,저체중
187,64,저체중
187,95,비만
190,61,저체중
179,78,정상
177,75,정상
165,85,비만
155,78,비만
153,81,비만
159,73,비만
157,97,비만
188,52,저체중
192,70,정상
150,60,비만
164,50,정상
180,90,비만
196,78,정상
175,75,정상
171,83,비만
198,97,정상
171,59,정상
189,81,정상
154,64,비만
